Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1939,-.07,-.08,-.19,-.09,-.06,-.08,-.08,-.07,-.06,-.03,.06,.45,-.02,-.08,-.12,-.11,-.07,-.01
1940,-.05,.13,.16,.19,.10,.08,.12,.05,.13,.08,.18,.28,.12,.13,.18,.15,.09,.13
1941,.21,.33,.08,.17,.15,.12,.21,.14,.02,.34,.24,.21,.19,.19,.27,.13,.16,.20
1942,.26,.02,.10,.11,.09,.05,.01,-.03,-.04,.00,.09,.08,.06,.07,.16,.10,.01,.01
1943,-.03,.14,-.08,.07,.05,-.06,.09,.01,.07,.23,.20,.25,.08,.06,.06,.02,.01,.16
1944,.36,.27,.27,.20,.20,.20,.19,.18,.30,.26,.10,.03,.21,.23,.29,.22,.19,.22
1945,.10,-.01,.07,.19,.05,.00,.03,.27,.22,.19,.08,-.08,.09,.10,.04,.10,.10,.16
1946,.15,.07,.01,.06,-.08,-.21,-.13,-.16,-.07,-.06,-.05,-.35,-.07,-.04,.05,.00,-.17,-.06
1947,-.12,-.07,.08,.07,-.03,.02,-.07,-.09,-.12,.06,.03,-.16,-.03,-.05,-.18,.04,-.05,-.01
1948,.08,-.15,-.25,-.11,.02,-.04,-.11,-.12,-.11,-.07,-.11,-.22,-.10,-.09,-.08,-.11,-.09,-.10
1949,.10,-.16,-.02,-.10,-.08,-.23,-.14,-.11,-.13,-.06,-.09,-.22,-.10,-.10,-.10,-.06,-.16,-.09
1950,-.33,-.28,-.06,-.20,-.09,-.03,-.10,-.16,-.12,-.22,-.38,-.20,-.18,-.18,-.27,-.12,-.10,-.24
1951,-.34,-.43,-.21,-.13,.00,-.02,.03,.06,.09,.05,-.02,.14,-.06,-.09,-.32,-.11,.02,.04
1952,.13,.11,-.09,.02,-.02,-.03,.04,.05,.08,.00,-.14,-.01,.01,.02,.13,-.03,.02,-.02
1953,.08,.14,.11,.18,.09,.10,.00,.06,.04,.06,-.05,.03,.07,.07,.07,.13,.06,.02
1954,-.28,-.13,-.15,-.16,-.21,-.17,-.18,-.16,-.10,-.04,.06,-.21,-.14,-.12,-.13,-.17,-.17,-.03
1955,.14,-.18,-.34,-.21,-.21,-.11,-.12,.01,-.11,-.05,-.24,-.30,-.14,-.14,-.08,-.25,-.08,-.13
1956,-.16,-.26,-.23,-.27,-.31,-.16,-.12,-.26,-.20,-.24,-.17,-.07,-.21,-.22,-.24,-.27,-.18,-.20
1957,-.11,-.04,-.06,-.01,.09,.16,.01,.15,.09,.01,.06,.16,.04,.02,-.07,.00,.11,.06
1958,.39,.24,.11,.03,.06,-.08,.05,-.03,-.02,.04,.02,.00,.07,.08,.26,.07,-.02,.01
1959,.08,.09,.18,.13,.04,.02,.06,-.02,-.06,-.09,-.09,-.02,.03,.03,.06,.12,.02,-.08
1960,-.01,.16,-.34,-.14,-.07,-.04,-.03,.01,.07,.07,-.12,.18,-.02,-.04,.05,-.19,-.02,.01
1961,.07,.19,.08,.12,.11,.11,.00,.03,.07,.00,.03,-.15,.05,.08,.15,.11,.05,.03
1962,.07,.14,.12,.04,-.04,.04,.02,-.02,.01,.00,.07,.00,.04,.03,.02,.04,.02,.03
1963,-.02,.20,-.14,-.06,-.04,.05,.08,.27,.20,.15,.15,-.01,.07,.07,.06,-.08,.13,.17
1964,-.08,-.13,-.23,-.32,-.25,-.02,-.03,-.21,-.29,-.31,-.21,-.30,-.20,-.17,-.07,-.27,-.09,-.27
1965,-.08,-.17,-.11,-.19,-.14,-.09,-.13,-.03,-.16,-.05,-.07,-.06,-.11,-.13,-.18,-.14,-.08,-.09
1966,-.17,.00,.05,-.13,-.11,.01,.09,-.08,-.02,-.15,-.02,-.05,-.05,-.05,-.08,-.06,.01,-.06
1967,-.06,-.21,.04,-.05,.15,-.08,.01,.01,-.06,.08,-.06,-.03,-.02,-.02,-.11,.05,-.02,-.01
1968,-.26,-.15,.21,-.06,-.13,-.07,-.12,-.09,-.18,.11,-.03,-.13,-.08,-.07,-.15,.01,-.09,-.04
1969,-.11,-.14,.01,.18,.19,.05,-.02,.03,.09,.13,.13,.28,.07,.03,-.12,.13,.02,.11
1970,.09,.22,.08,.09,-.04,-.02,-.02,-.09,.11,.06,.02,-.12,.03,.07,.20,.04,-.04,.06
1971,-.02,-.19,-.17,-.08,-.05,-.19,-.11,-.03,-.04,-.06,-.05,-.09,-.09,-.09,-.11,-.10,-.11,-.05
1972,-.24,-.17,.02,.00,-.04,.06,.01,.17,.02,.09,.04,.19,.01,-.01,-.17,.00,.08,.05
1973,.29,.31,.27,.26,.26,.18,.10,.04,.10,.14,.06,-.06,.16,.18,.26,.26,.10,.10
1974,-.15,-.29,-.06,-.12,-.02,-.06,-.05,.11,-.11,-.08,-.07,-.09,-.08,-.08,-.16,-.07,.00,-.09
1975,.07,.06,.13,.05,.16,.00,-.01,-.19,-.03,-.09,-.16,-.17,-.01,-.01,.01,.11,-.06,-.09
1976,-.01,-.06,-.21,-.08,-.24,-.16,-.10,-.15,-.09,-.26,-.04,.10,-.11,-.13,-.08,-.18,-.13,-.13
1977,.19,.22,.25,.28,.30,.24,.20,.16,.00,.02,.17,.03,.17,.18,.17,.27,.20,.07
1978,.06,.14,.21,.15,.06,-.02,.03,-.17,.06,.00,.15,.10,.06,.06,.08,.14,-.05,.07
1979,.12,-.10,.18,.13,.06,.13,.02,.14,.25,.24,.28,.47,.16,.13,.04,.12,.10,.26
1980,.30,.43,.31,.33,.36,.18,.29,.23,.19,.18,.29,.20,.27,.30,.40,.33,.23,.22
1981,.55,.41,.49,.31,.24,.32,.34,.32,.17,.14,.24,.43,.33,.31,.38,.35,.32,.18
1982,.10,.15,-.01,.09,.15,.05,.13,.07,.14,.13,.15,.43,.13,.13,.23,.08,.08,.14
1983,.51,.40,.42,.31,.36,.20,.17,.33,.39,.16,.32,.17,.31,.33,.45,.36,.23,.29
1984,.30,.17,.29,.09,.33,.05,.17,.16,.21,.16,.06,-.05,.16,.18,.21,.24,.13,.14
1985,.22,-.06,.17,.11,.17,.18,-.01,.15,.15,.11,.09,.15,.12,.10,.04,.15,.11,.12
1986,.29,.39,.28,.24,.24,.11,.11,.12,.00,.13,.12,.17,.18,.18,.27,.25,.11,.08
1987,.36,.46,.16,.23,.25,.37,.45,.28,.39,.32,.26,.48,.33,.31,.33,.21,.37,.32
1988,.58,.43,.51,.46,.44,.43,.34,.47,.41,.40,.12,.33,.41,.42,.49,.47,.41,.31
1989,.15,.35,.37,.34,.17,.14,.33,.37,.37,.32,.21,.39,.29,.29,.28,.29,.28,.30
1990,.40,.41,.76,.55,.46,.38,.43,.31,.29,.41,.45,.41,.44,.44,.40,.59,.37,.39
1991,.40,.49,.35,.52,.38,.53,.48,.39,.48,.30,.31,.33,.41,.42,.44,.42,.47,.37
1992,.44,.42,.47,.24,.32,.26,.12,.07,.00,.09,.03,.22,.22,.23,.40,.34,.15,.04
1993,.38,.39,.36,.27,.28,.25,.28,.13,.10,.23,.06,.16,.24,.25,.33,.30,.22,.13
1994,.28,.02,.27,.41,.28,.43,.31,.21,.29,.42,.46,.36,.31,.30,.15,.32,.32,.39
1995,.51,.78,.45,.48,.26,.41,.48,.46,.33,.47,.45,.28,.45,.45,.55,.40,.45,.42
1996,.25,.49,.33,.36,.27,.25,.35,.49,.25,.19,.41,.40,.34,.33,.34,.32,.36,.28
1997,.32,.38,.53,.36,.36,.53,.35,.41,.54,.63,.65,.59,.47,.45,.37,.42,.43,.60
1998,.60,.90,.64,.63,.69,.77,.68,.66,.42,.45,.49,.56,.63,.63,.70,.65,.71,.45
1999,.48,.66,.35,.33,.31,.37,.37,.32,.41,.39,.38,.43,.40,.41,.57,.33,.35,.40
2000,.24,.57,.58,.58,.37,.41,.39,.43,.41,.29,.33,.30,.41,.42,.41,.51,.41,.35
2001,.43,.45,.57,.51,.57,.55,.61,.48,.55,.51,.71,.56,.54,.52,.39,.55,.55,.59
2002,.76,.76,.91,.57,.64,.55,.61,.53,.63,.56,.58,.44,.63,.64,.69,.71,.57,.59
2003,.73,.56,.58,.54,.61,.48,.54,.66,.66,.75,.53,.74,.61,.59,.58,.58,.56,.65
2004,.59,.73,.66,.64,.39,.43,.25,.43,.51,.64,.71,.52,.54,.56,.69,.56,.37,.62
2005,.73,.58,.69,.67,.63,.66,.64,.61,.75,.76,.72,.66,.68,.66,.61,.66,.64,.75
2006,.57,.69,.63,.51,.48,.65,.53,.70,.62,.68,.70,.75,.62,.62,.64,.54,.63,.67
2007,.95,.71,.69,.74,.67,.59,.61,.58,.60,.58,.56,.47,.65,.67,.80,.70,.59,.58
2008,.24,.35,.74,.52,.48,.46,.59,.44,.63,.64,.65,.54,.52,.52,.35,.58,.50,.64
2009,.62,.52,.52,.59,.65,.65,.70,.66,.68,.64,.77,.66,.64,.63,.56,.59,.67,.70
2010,.74,.80,.93,.86,.74,.63,.60,.63,.60,.69,.78,.47,.70,.72,.73,.84,.62,.69
2011,.49,.51,.63,.63,.51,.58,.72,.72,.54,.63,.56,.53,.59,.58,.49,.59,.67,.58
2012,.45,.48,.56,.69,.75,.63,.54,.62,.72,.75,.74,.53,.62,.62,.49,.67,.60,.74
2013,.67,.56,.66,.53,.58,.66,.58,.67,.77,.68,.79,.66,.65,.64,.58,.59,.64,.75
2014,.74,.52,.77,.77,.86,.67,.56,.82,.88,.82,.66,.78,.74,.73,.64,.80,.68,.79
2015,.82,.87,.91,.75,.76,.80,.72,.79,.82,1.08,1.03,1.11,.87,.84,.82,.81,.77,.98
2016,1.16,1.35,1.31,1.09,.92,.78,.82,1.01,.88,.90,.91,.83,1.00,1.02,1.20,1.11,.87,.90
2017,.98,1.13,1.13,.92,.90,.70,.83,.88,.76,.88,.85,.88,.90,.90,.98,.98,.80,.83
2018,.77,.84,.91,.87,.82,.74,.79,.73,.74,.99,***,***,***,***,.83,.87,.75,***
